FEloop,Hfield,V,R,sigma
30%MnS6RxxH3K,Field,Rx1,Rx2,
Temp,,,,
3.00017,-52521.53906,0.16882,-2.49509,#SPILL!
3.00017,-52433.82031,0.16873,-2.54823,#SPILL!
3.00017,-52301.89844,0.16891,-2.44195,#SPILL!
3.00017,-52214.09766,0.16891,-2.44195,#SPILL!
3.00017,-52104.22266,0.16891,-2.44195,#SPILL!
3.00017,-52016.47266,0.16873,-2.54823,#SPILL!
3.00017,-51884.53125,0.1691,-2.33568,#SPILL!
3.00017,-51796.74219,0.1691,-2.33568,#SPILL!
3.00017,-51708.92578,0.169,-2.38882,#SPILL!
3.00017,-51577.22266,0.16891,-2.44195,#SPILL!
3.00017,-51489.30078,0.16882,-2.49509,#SPILL!
3.00017,-51379.42578,0.16882,-2.49509,#SPILL!
3.00017,-51269.46484,0.16891,-2.44195,#SPILL!
3.00017,-51181.71484,0.16891,-2.44195,#SPILL!
3.00017,-51071.78125,0.169,-2.38882,#SPILL!
3.00017,-50961.96094,0.16891,-2.44195,#SPILL!
3.00017,-50874.10156,0.169,-2.38882,#SPILL!
3.00017,-50764.22656,0.16891,-2.44195,#SPILL!
3.00017,-50654.54688,0.1691,-2.33568,#SPILL!
3.00017,-50566.64844,0.16882,-2.49509,#SPILL!
3.00017,-50456.76953,0.1691,-2.33568,#SPILL!
3.00017,-50346.92188,0.16891,-2.44195,#SPILL!
3.00017,-50259.14453,0.1691,-2.33568,#SPILL!
3.00017,-50149.16797,0.1691,-2.33568,#SPILL!
3.00017,-50039.49609,0.169,-2.38882,#SPILL!
3.00017,-49929.50391,0.1691,-2.33568,#SPILL!
3.00017,-49819.40234,0.169,-2.38882,#SPILL!
3.00017,-49731.41797,0.169,-2.38882,#SPILL!
3.00017,-49621.50391,0.16882,-2.49509,#SPILL!
3.00017,-49511.66016,0.1691,-2.33568,#SPILL!
3.00017,-49401.82422,0.169,-2.38882,#SPILL!
3.00017,-49292.05859,0.16891,-2.44195,#SPILL!
3.00017,-49204.10938,0.1691,-2.33568,#SPILL!
3.00017,-49094.25781,0.1691,-2.33568,#SPILL!
3.00017,-48984.33594,0.1691,-2.33568,#SPILL!
3.00017,-48896.67188,0.1691,-2.33568,#SPILL!
3.00017,-48786.80859,0.169,-2.38882,#SPILL!
3.00017,-48676.9375,0.16928,-2.22941,#SPILL!
3.00017,-48589.06641,0.1691,-2.33568,#SPILL!
3.00017,-48479.17188,0.16882,-2.49509,#SPILL!
3.00017,-48369.33594,0.1691,-2.33568,#SPILL!
3.00017,-48281.44531,0.1691,-2.33568,#SPILL!
3.00017,-48149.67188,0.1691,-2.33568,#SPILL!
3.00017,-48061.71875,0.16891,-2.44195,#SPILL!
3.00017,-47952,0.169,-2.38882,#SPILL!
3.00017,-47864.0625,0.169,-2.38882,#SPILL!
3.00017,-47754.35156,0.169,-2.38882,#SPILL!
3.00017,-47644.41797,0.169,-2.38882,#SPILL!
3.00017,-47534.64063,0.1691,-2.33568,#SPILL!
3.00017,-47446.62109,0.1691,-2.33568,#SPILL!
3.00017,-47336.82813,0.1691,-2.33568,#SPILL!
3.00017,-47226.93359,0.16919,-2.28255,#SPILL!
3.00017,-47139.16016,0.169,-2.38882,#SPILL!
3.00017,-47029.34766,0.1691,-2.33568,#SPILL!
3.00017,-46919.66406,0.16919,-2.28255,#SPILL!
3.00017,-46809.69141,0.1691,-2.33568,#SPILL!
3.00017,-46699.85156,0.1691,-2.33568,#SPILL!
3.00017,-46612.09375,0.1691,-2.33568,#SPILL!
3.00017,-46502.05859,0.16937,-2.17627,#SPILL!
3.00017,-46392.41016,0.1691,-2.33568,#SPILL!
3.00017,-46304.35547,0.1691,-2.33568,#SPILL!
3.00017,-46194.50781,0.16919,-2.28255,#SPILL!
3.00017,-46084.52734,0.16919,-2.28255,#SPILL!
3.00017,-45974.80469,0.16919,-2.28255,#SPILL!
3.00017,-45864.92188,0.16919,-2.28255,#SPILL!
3.00017,-45776.875,0.1691,-2.33568,#SPILL!
3.00017,-45667.06641,0.169,-2.38882,#SPILL!
3.00017,-45557.27734,0.16919,-2.28255,#SPILL!
3.00017,-45469.48828,0.169,-2.38882,#SPILL!
3.00017,-45359.59375,0.1691,-2.33568,#SPILL!
3.00017,-45249.82813,0.16919,-2.28255,#SPILL!
3.00017,-45139.94141,0.16919,-2.28255,#SPILL!
3.00017,-45052.08203,0.1691,-2.33568,#SPILL!
3.00017,-44942.24609,0.1691,-2.33568,#SPILL!
3.00017,-44854.45312,0.16919,-2.28255,#SPILL!
3.00017,-44744.42188,0.16919,-2.28255,#SPILL!
3.00017,-44634.66406,0.16928,-2.22941,#SPILL!
3.00017,-44524.87109,0.16919,-2.28255,#SPILL!
3.00017,-44415.19141,0.1691,-2.33568,#SPILL!
3.00017,-44327.17578,0.1691,-2.33568,#SPILL!
3.00017,-44217.37109,0.1691,-2.33568,#SPILL!
3.00017,-44129.40625,0.16919,-2.28255,#SPILL!
3.00017,-44019.61719,0.16919,-2.28255,#SPILL!
3.00017,-43909.74219,0.1691,-2.33568,#SPILL!
3.00017,-43800.00391,0.1691,-2.33568,#SPILL!
3.00017,-43712.11328,0.16919,-2.28255,#SPILL!
3.00017,-43602.27344,0.16919,-2.28255,#SPILL!
3.00017,-43492.43359,0.16928,-2.22941,#SPILL!
3.00017,-43382.78516,0.16919,-2.28255,#SPILL!
3.00017,-43294.85547,0.16919,-2.28255,#SPILL!
3.00017,-43184.86719,0.16919,-2.28255,#SPILL!
3.00017,-43074.96484,0.16937,-2.17627,#SPILL!
3.00017,-42965.20313,0.169,-2.38882,#SPILL!
3.00017,-42877.37891,0.16919,-2.28255,#SPILL!
